,IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,OperatorID,UsageTypeID,UsageCost,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.ContactTelephone1,AddressInfo.RelatedURL,AddressInfo.DistanceUnit,AddressInfo.AddressLine2,DataProvidersReference,AddressInfo.ContactEmail,AddressInfo.AccessComments,GeneralComments,OperatorsReference,AddressInfo.ContactTelephone2,ID,ConnectionTypeID,StatusTypeID,LevelID,PowerKW,CurrentTypeID,Quantity,Reference,Amps,Voltage,Comments
0,True,2025-08-28T15:17:00Z,460621,FEF39DF3-909E-4B48-B43C-C19DCD2D93B0,1,3504.0,1.0,€0.64/kWh incl. VAT,"[{'ID': 774959, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 120, 'CurrentTypeID': 30, 'Quantity': 2}]",2.0,50,2025-08-28T15:17:00Z,1,2025-08-28T15:17:00Z,200,461010,LEAP24 Charging Station,Nijverheidsweg-Noord 104,Amersfoort,Utrecht,3812PN,159,52.168167,5.358717,08002600005,http://www.leap24.eu,0,,,,,,,,774959.0,33.0,50.0,3.0,120.0,30.0,2.0,,,,
1,True,2025-08-25T08:00:00Z,460536,AAD05477-40AF-4B68-863F-C582F745E1A4,1,108.0,1.0,,"[{'ID': 774827, 'ConnectionTypeID': 33, 'Reference': 'DT5867', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11.04, 'CurrentTypeID': 20, 'Quantity': 2}]",2.0,50,2025-08-25T08:00:00Z,1,2025-08-24T13:19:00Z,200,460925,Marialaan,Marialaan 32,Ooij,Gelderland,6576 BJ,159,51.8543117153298,5.944049993010708,,,0,6576 BJ,,,,,,,774827.0,33.0,50.0,2.0,11.04,20.0,2.0,DT5867,,,
2,True,2025-08-25T08:00:00Z,460535,C9ACCCF2-94AB-45A3-AEF6-5AE714A34D60,1,108.0,1.0,,"[{'ID': 774826, 'ConnectionTypeID': 33, 'Reference': 'RE5889', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11.04, 'CurrentTypeID': 20, 'Quantity': 2}]",2.0,50,2025-08-25T08:00:00Z,1,2025-08-24T13:13:00Z,200,460924,Dovenetel,Dovenetel 2,Haelen,Limburg,6081 CG,159,51.234904,5.9501153,,,0,,,,,,,,774826.0,33.0,50.0,2.0,11.04,20.0,2.0,RE5889,,,
3,True,2025-07-23T13:54:00Z,459910,DF8B89B3-3EE9-4AAC-800F-97632CC9375A,1,3387.0,4.0,,"[{'ID': 773840, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 6}]",6.0,50,2025-07-23T13:54:00Z,1,2025-07-20T10:38:00Z,200,460299,Roompot Parkeerplaats,Zeekraalstraat,,,,159,51.3827394098422,3.4412654636525417,,,0,,,,,,,,773840.0,25.0,50.0,2.0,11.0,20.0,6.0,,,,
4,True,2025-07-23T13:54:00Z,459907,2679CC3D-FE49-4D0F-9CD9-72AAE6696119,1,3387.0,4.0,,"[{'ID': 773836, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 17, 'CurrentTypeID': 20, 'Quantity': 2}, {'ID': 773837, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 4}]",6.0,50,2025-07-23T13:54:00Z,1,2025-07-19T21:17:00Z,200,460296,Parkeerplaats Zeedijk,Zeedijk 9,Nieuwvliet,,,159,51.39043038785479,3.4538934708392333,,,0,,,,,,,,773836.0,25.0,50.0,2.0,17.0,20.0,2.0,,,,
5,True,2025-07-03T07:16:00Z,459140,43128202-0F5B-4104-81D5-3FD43CAA7FF7,38,3632.0,4.0,,"[{'ID': 771804, 'ConnectionTypeID': 2, 'Reference': '1', 'StatusTypeID': 0, 'CurrentTypeID': 10, 'Quantity': 1}, {'ID': 771805, 'ConnectionTypeID': 2, 'Reference': '1', 'StatusTypeID': 50, 'CurrentTypeID': 10, 'Quantity': 1}, {'ID': 771806, 'ConnectionTypeID': 2, 'Reference': '1', 'StatusTypeID': 0, 'CurrentTypeID': 10, 'Quantity': 1}, {'ID': 771807, 'ConnectionTypeID': 2, 'Reference': '1', 'StatusTypeID': 0, 'CurrentTypeID': 10, 'Quantity': 1}]",,0,2025-07-03T07:16:00Z,1,2025-07-03T06:25:00Z,200,459529,TopParken - Resort de Brabantse Kempen,Wellenseind 9,Lage Mierde,,5094 EG,159,51.4210791,5.1419643,,,0,,47386,,,,,,771804.0,2.0,0.0,,,10.0,1.0,1,,,
6,True,2025-07-04T19:04:00Z,459036,3EF50658-2BD9-46BC-BF86-6063B27C6664,1,3387.0,1.0,"DC: €0,79/kWh AC: €0,79/kWh","[{'ID': 771600, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 771601, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 1}]",2.0,50,2025-07-04T19:04:00Z,1,2025-07-01T19:03:00Z,200,459425,LastMileSolutions,Textielstraat 1,,,,159,52.173494966027874,6.742379000402025,,,0,,,,,,,,771600.0,2.0,50.0,3.0,50.0,30.0,1.0,,,,
7,True,2025-06-28T12:09:00Z,458923,14AC1B1D-DA4C-4BB1-AFA7-7EADA60A7D76,1,3510.0,1.0,,"[{'ID': 771432, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 150, 'CurrentTypeID': 30, 'Quantity': 2}]",1.0,50,2025-06-28T12:09:00Z,1,2025-06-25T12:05:00Z,200,459312,Total Energies,Ijmuiderstraatweg,IJmuiden,Noord-Holland,,159,52.46316607990792,4.6149589847780135,,,0,,,,,,,,771432.0,33.0,50.0,3.0,150.0,30.0,2.0,,,,
8,True,2025-09-05T08:39:00Z,456522,BA5772C6-F1F0-4297-8D3C-4CF4735F0D11,38,3632.0,4.0,,"[{'ID': 766175, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 240, 'Voltage': 500, 'PowerKW': 120, 'CurrentTypeID': 30, 'Quantity': 1}]",,50,2025-09-05T08:39:00Z,1,2025-06-21T09:42:00Z,200,456911,AG EMS Eemshaven (PowerGo),Borkumkade 1,Eemshaven,,9909TA,159,53.45703266,6.83221479,,,0,,16177,,,,,,766175.0,33.0,50.0,3.0,120.0,30.0,1.0,1,240.0,500.0,
9,True,2025-07-03T07:16:00Z,456521,56EF0BAB-02CC-4F44-8A52-0AAE2BCF809A,38,3632.0,4.0,,"[{'ID': 766171, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 766172, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 766173, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 766174, 'ConnectionTypeID': 1036, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 12.7, 'CurrentTypeID': 20, 'Quantity': 1}]",,50,2025-07-03T07:16:00Z,1,2025-06-21T09:42:00Z,200,456910,Restaurette Schierzicht Lauwersoog (PowerGo),Haven 8,Lauwersoog,,9976VN,159,53.40778107,6.19952575,,,0,,16132,,,,,,766171.0,1036.0,50.0,2.0,12.7,20.0,1.0,1,32.0,230.0,
10,True,2025-07-03T07:16:00Z,456519,C6022FC2-B05D-4DC8-9765-89D1B10B50FE,38,3632.0,4.0,,"[{'ID': 766166, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 640, 'Voltage': 500, 'PowerKW': 320, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 766167, 'ConnectionTypeID': 33, 'Reference': '1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 640, 'Voltage': 500, 'PowerKW': 320, 'CurrentTypeID': 30, 'Quantity': 1}]",,50,2025-07-03T07:16:00Z,1,2025-06-21T09:42:00Z,200,456908,Jumbo 6594 Groningen Reitdiephaven (PowerGo),Reitdiephaven 277,Groningen,,9746 RE,159,53.2358344,6.5217084,,,0,,29307,,,,,,766166.0,33.0,50.0,3.0,320.0,30.0,1.0,1,640.0,500.0,
